They do not!	They do to!
Apipoussan!	I know how to say "Hello". Teach me how to say "Good-bye", that's all I need.
I know how to say "Hello". Teach me how to say "Good-bye", that's all I need.	Yes! Now it's your turn! I learned your language, you have to learn mine!
Yes! Now it's your turn! I learned your language, you have to learn mine!	You learned 900 languages in five minutes?!
You learned 900 languages in five minutes?!	All 900.
All 900.	Which one?
Which one?	Learning language.
Learning language.	Finished what?
Finished what?	What is... Make Love?
What is... Make Love?	Sometimes you can't learn everything from a screen..sometimes it's better to ask someone who has experience..
Sometimes you can't learn everything from a screen..sometimes it's better to ask someone who has experience..	Yes! But "love" isn't the operative word here, PEACE is!
Yes! But "love" isn't the operative word here, PEACE is!	Love...
Love...	Not hard to find you...just follow the Chaos...
Not hard to find you...just follow the Chaos...	Apipoulai!
Apipoulai!	Took the words right out of my mouth. Go on... I'll be right with you.  It's our honeymoon. We're going to use the trip to get to know each other better.
Took the words right out of my mouth. Go on... I'll be right with you.  It's our honeymoon. We're going to use the trip to get to know each other better.	Dinoine chagantakat!
Dinoine chagantakat!	Oh god!
Oh god!	Cornelius..
Cornelius..	You hear that?
You hear that?	Uh..you're welcome.
Uh..you're welcome.	Valo massa... Chacha hamas.
Valo massa... Chacha hamas.	I suppose that means "Hi" ?
I suppose that means "Hi" ?	Apipoulai!
Apipoulai!	Good philosophy..see good in bad.. I like..I prepare number one dessert.. special for you and pussy..
Good philosophy..see good in bad.. I like..I prepare number one dessert.. special for you and pussy..	At least I won lunch.
At least I won lunch.	You right that is bad.. but mathematically luck must change! Grandfather say: "It never rain every day." This is good news guarantee.. I bet you lunch!
You right that is bad.. but mathematically luck must change! Grandfather say: "It never rain every day." This is good news guarantee.. I bet you lunch!	The last two messages I got?  The first one was from my wife telling me she was leaving! And the second was from my lawyer telling me he was leaving too... with my wife.
The last two messages I got?  The first one was from my wife telling me she was leaving! And the second was from my lawyer telling me he was leaving too... with my wife.	How someone strong like you scared from a message? Is good news I sure!
How someone strong like you scared from a message? Is good news I sure!	I've never gotten a message that wasn't bad news.
I've never gotten a message that wasn't bad news.	Not going to open?
Not going to open?	You're welcome..
You're welcome..	Thanks..
Thanks..	You gotta push the little yellow button...
You gotta push the little yellow button...	It's not?
It's not?	You know you could hurt someone with this puppy..good thing it's not loaded..
You know you could hurt someone with this puppy..good thing it's not loaded..	Uh..
Uh..	Isn't that a Z140? Alleviated titanium. Neuro charged assault model?
Isn't that a Z140? Alleviated titanium. Neuro charged assault model?	Don't fuck with me man or I'll blow you into tomorrow!
Don't fuck with me man or I'll blow you into tomorrow!	Been here long?
Been here long?	The cash man!
The cash man!	It's an honor to receive you. Mr. President.
It's an honor to receive you. Mr. President.	Mr. President, let me introduce you to Professor Mactilburgh, who runs the center.
Mr. President, let me introduce you to Professor Mactilburgh, who runs the center.	An elephant couldn't crack it.
An elephant couldn't crack it.	This thing solid?
This thing solid?	Wonderful!
Wonderful!	...This is the crucial phase, The reconstruction of pigment. Cells are bombarded with slightly greasy solar atoms which forces the body cells to react, to protect themselves. That means growing skin. Clever, eh?
...This is the crucial phase, The reconstruction of pigment. Cells are bombarded with slightly greasy solar atoms which forces the body cells to react, to protect themselves. That means growing skin. Clever, eh?	We put it through the cellular hygiene detector. The cell is for lack of a better word... perfect.
We put it through the cellular hygiene detector. The cell is for lack of a better word... perfect.	Is there any danger? Some kind of virus?
Is there any danger? Some kind of virus?	The compositional elements of his DNA chain are the same as ours, there are simply more of them tightly packed. His knowledge is probably limitless..
The compositional elements of his DNA chain are the same as ours, there are simply more of them tightly packed. His knowledge is probably limitless..	Yes... I can't wait to meet him.
Yes... I can't wait to meet him.	Sounds like a freak of nature to me.
Sounds like a freak of nature to me.	This cell is like a huge library. It has infinite genetic knowledge stored inside. Almost like it was...engineered.
This cell is like a huge library. It has infinite genetic knowledge stored inside. Almost like it was...engineered.	Talk English Doc.
Talk English Doc.	It's not that easy..we've never encountered anything like it before..you see normal human beings have 40 DNA memo groums..which is more than enough for any species to perpetuate itself..This one has 200,000.
It's not that easy..we've never encountered anything like it before..you see normal human beings have 40 DNA memo groums..which is more than enough for any species to perpetuate itself..This one has 200,000.	Have you identified it?
Have you identified it?	Actually only one cell survived..
Actually only one cell survived..	This is all that survived?
This is all that survived?	How much time is left?
How much time is left?	They just landed in the desert.
They just landed in the desert.	Don't worry, Sir. I have the perfect one.
Don't worry, Sir. I have the perfect one.	I want your best man on this!
I want your best man on this!	...What do you mean?
...What do you mean?	The-Stones weren't aboard the ship.
The-Stones weren't aboard the ship.	And the Stones?  Did you find them in the wreckage?
And the Stones?  Did you find them in the wreckage?	I managed to contact the Mondoshawan. They deplore the incident, but accept our apologies.
I managed to contact the Mondoshawan. They deplore the incident, but accept our apologies.	I'm about to, Mr. President.
I'm about to, Mr. President.	Staedert?  What's going on?  Did you destroy it?
Staedert?  What's going on?  Did you destroy it?	Gentlemen?
Gentlemen?	My philosophy Mr. President is shoot first ask questions later. I don't like uninvited guests.
My philosophy Mr. President is shoot first ask questions later. I don't like uninvited guests.	Recommendations.
Recommendations.	Wait or act.
Wait or act.	Options.
Options.	Not yet Sir..The only thing we know is it just keeps getting bigger!
Not yet Sir..The only thing we know is it just keeps getting bigger!	What you are saying is you don't know what this..thing..is.
What you are saying is you don't know what this..thing..is.	There are no results from the chemical and molecular analysis as of yet, all the calibers are overshot..we're hoping a thermo nucleatic imaging..
